x,Pressure,Level,Heater
-3.6,58.232,47.923,-0.452
4.34,58.234,47.925,-0.465
4.73,58.234,47.925,-0.466
82.71,58.231,47.94,-0.51
153.81,58.208,47.94,-0.467
192.55,58.23,47.934,-0.433
227.95,58.274,47.923,-0.399
345.55,58.404,47.866,-0.283
475.01,58.228,47.784,-0.166
533.94,58.177,47.745,-0.126
542.18,58.174,47.74,-0.121
655.47,58.226,47.682,-0.097
824.25,58.515,47.743,-0.125
848.18,58.553,47.769,-0.124
863.39,58.574,47.787,-0.122
1039.92,58.572,48.014,-0.068
1177.31,58.443,48.089,-0.003
1232.15,58.395,48.044,0.025
1271.86,58.372,47.98,0.047
1361.61,58.394,47.802,0.099
1436.23,58.44,47.737,0.181
1452.32,58.445,47.745,0.22
1538.62,58.399,47.862,0.219
1542.07,58.393,47.867,0.185
1613.16,58.143,47.908,-0.131
1648.45,58.041,47.81,1.965
1648.47,58.041,47.81,-0.131
1651.91,58.042,47.79,2.631
1656.27,58.048,47.762,6.158
1659.85,58.057,47.735,9.9
1660.16,58.057,47.733,10.001
1664.02,58.071,47.698,16.639
1671.65,58.109,47.615,43.717
1671.8,58.11,47.613,25.549
1675.65,58.135,47.56,34.109
1687.2,58.234,47.344,61.186
1687.26,58.235,47.343,52.801
1697.94,58.354,47.031,66.034
1699.89,58.379,46.958,67.606
1705.76,58.457,46.699,69.528
1708.69,58.499,46.546,71.406
1716.52,58.617,46.055,73.328
1729.28,58.827,45.075,71.362
1732.26,58.879,44.838,67.126
1734.21,58.914,44.684,68.916
1734.29,58.915,44.677,68.844
1735.22,58.932,44.604,64.549
1739.18,59.003,44.298,61.099
1742.26,59.059,44.066,58.216
1744.12,59.093,43.929,56.775
1751.99,59.241,43.367,52.931
1756.91,59.334,43.029,50.922
1763.8,59.465,42.568,48.695
1771.63,59.615,42.058,50.442
1775.54,59.69,41.808,52.407
1780.43,59.783,41.499,54.11
1786.29,59.894,41.133,56.207
1790.18,59.967,40.894,60.312
1791.14,59.985,40.835,62.67
1791.18,59.986,40.833,58.565
1799.93,60.148,40.302,67.387
1799.95,60.149,40.301,64.898
1804.82,60.237,40.01,68.872
1809.71,60.325,39.721,70.706
1817.58,60.464,39.26,67.387
1818.55,60.48,39.204,68.872
1827.44,60.631,38.694,61.797
1828.4,60.647,38.639,64.199
1835.31,60.759,38.249,58.783
1836.31,60.775,38.193,56.163
1840.2,60.836,37.977,53.027
1840.26,60.837,37.973,52.974
1842.24,60.867,37.864,50.791
1846.18,60.927,37.647,48.694
1856,61.07,37.115,46.947
1860.01,61.126,36.902,46.11
1864.84,61.192,36.648,45.637
1872.67,61.296,36.245,47.952
1879.52,61.383,35.9,49.96
1880.48,61.396,35.852,51.664
1881.44,61.408,35.804,54.197
1884.37,61.444,35.66,56.337
1888.27,61.491,35.469,58.389
1889.21,61.503,35.424,64.198
1889.22,61.503,35.423,62.364
1889.24,61.503,35.422,60.529
1895.07,61.572,35.142,66.513
1901.92,61.652,34.818,67.91
1916.65,61.815,34.133,66.338
1920.59,61.857,33.951,64.416
1920.61,61.857,33.95,62.232
1924.55,61.899,33.767,59.568
1932.41,61.98,33.4,57.909
1932.43,61.98,33.399,55.507
1940.3,62.06,33.024,52.842
1941.31,62.07,32.976,49.654
1941.32,62.07,32.975,47.296
1944.28,62.1,32.831,45.287
1950.27,62.159,32.534,44.153
1957.87,62.232,32.147,43.462
1959.01,62.243,32.089,43.452
1968.8,62.336,31.576,45.243
1970.75,62.355,31.474,47.514
1972.67,62.373,31.372,52.274
1972.68,62.373,31.371,50.265
1976.57,62.41,31.164,54.807
1978.51,62.429,31.06,57.078
1986.33,62.504,30.643,60.791
1986.34,62.504,30.642,59.218
1994.16,62.581,30.224,62.974
2009.85,62.743,29.393,62.45
2010.84,62.754,29.342,61.358
2012.82,62.775,29.238,58.869
2016.77,62.819,29.033,56.423
2016.78,62.819,29.033,54.545
2019.74,62.853,28.88,52.187
2022.71,62.887,28.728,49.872
2028.61,62.958,28.43,47.426
2040.4,63.11,27.848,44.674
2048.39,63.22,27.467,41.69
2049.25,63.233,27.426,41.661
2063.79,63.454,26.764,43.288
2068.85,63.537,26.54,44.456
2071.77,63.586,26.413,46.858
2071.77,63.586,26.412,46.29
2073.71,63.619,26.328,48.867
2078.61,63.704,26.117,49.915
2081.53,63.756,25.993,52.317
2082.47,63.773,25.953,57.121
2082.49,63.773,25.952,54.763
2087.36,63.861,25.746,59.436
2095.19,64.007,25.419,61.488
2104.03,64.177,25.053,59.436
2114.84,64.39,24.609,56.728
2114.86,64.391,24.608,54.5
2116.84,64.431,24.527,52.448
2119.8,64.491,24.405,50.133
2131.59,64.733,23.916,47.469
2134.55,64.795,23.792,45.372
2143.4,64.982,23.411,42.402
2146.5,65.048,23.273,40.061
2147.35,65.066,23.235,39.695
2160.11,65.341,22.622,37.642
2168.92,65.533,22.153,40.044
2169.69,65.549,22.11,40.211
2175.77,65.681,21.768,41.66
2177.69,65.723,21.659,46.245
2177.71,65.723,21.658,44.367
2179.64,65.764,21.55,48.473
2183.53,65.846,21.337,52.622
2183.54,65.846,21.336,50.613
2184.49,65.866,21.285,54.587
2191.33,66.002,20.936,57.47
2193.6,66.044,20.827,59.212
2198.18,66.123,20.616,59.697
2212.96,66.312,19.996,51.486
2213.96,66.321,19.956,48.56
2214.87,66.329,19.921,57.076
2214.89,66.329,19.92,55.242
2216.95,66.345,19.84,43.232
2218.94,66.359,19.764,39.912
2219.97,66.365,19.725,34.06
2222.94,66.381,19.613,30.741
2228.85,66.405,19.397,26.941
2229.82,66.408,19.363,29.081
2231.8,66.414,19.292,26.111
2236.37,66.422,19.134,26.33
2240.62,66.427,18.99,27.378
2243.55,66.428,18.894,28.775
2247.44,66.429,18.768,32.051
2248.41,66.428,18.738,34.016
2254.27,66.426,18.557,37.423
2258.18,66.423,18.442,39.082
2260.31,66.421,18.381,38.865
2265.05,66.417,18.249,37.728
2265.06,66.417,18.249,36.462
2269,66.412,18.145,34.584
2280.8,66.399,17.86,31.046
2285.67,66.394,17.752,29.449
2285.67,66.394,17.752,28.755
2286.46,66.393,17.735,27.334
2291.19,66.388,17.636,20.921
2291.94,66.387,17.621,23.868
2300.56,66.38,17.45,17.455
2317.71,66.373,17.127,14.3
2328.63,66.374,16.924,11.527
2334.86,66.377,16.808,10.873
2359.01,66.407,16.356,9.239
2365.83,66.421,16.234,8.764
2395.61,66.508,15.752,7.055
2464.13,66.743,15.078,4.558
2468.25,66.755,15.06,4.465
2477.37,66.778,15.029,4.073
2513.2,66.824,15.002,0.779
2539.67,66.79,15.04,0.19
2546.29,66.769,15.054,0.176
2621.25,66.142,15.058,-0.106
2666.49,65.586,13.604,-0.228
2672.26,65.521,13.311,-0.237
2687.53,65.37,12.891,-0.253
2746.81,65.123,12.087,-0.233
2820.91,65.194,11.003,-0.146
2825.37,65.199,10.939,-0.142
2899.83,65.251,9.989,-0.117
2992.1,65.206,9.277,-0.144
3001.37,65.192,9.227,-0.147
3060.68,65.058,8.94,-0.159
3103.91,64.937,8.728,-0.145
3150.45,64.842,8.501,-0.099
3205.9,64.816,8.267,-0.058
3213.68,64.818,8.24,-0.055
3307.37,64.84,8.002,-0.048
3350.99,64.815,7.889,-0.056
3364.79,64.801,7.841,-0.06
3472.61,64.668,7.364,-0.072
3476.06,64.664,7.351,-0.07
3490.32,64.649,7.298,-0.061
3660.92,64.507,6.663,0.097
3682.55,64.489,6.551,0.112
3683.98,64.487,6.543,0.113
3808.08,64.367,5.832,0.111
3817.84,64.357,5.788,0.111
3872.28,64.311,5.585,0.12
3915.97,64.29,5.466,0.11
3947.84,64.29,5.411,-0.131
3962.55,64.296,5.396,-0.065
3978.21,64.31,5.39,0.477
3983.15,64.316,5.39,-0.175
4000.38,64.306,5.402,-7.796
4005.84,64.274,5.409,-16.509
4010.95,64.227,5.419,-41.731
4016.06,64.163,5.43,-66.385
4018.09,64.134,5.435,-74.988
4021.14,64.087,5.443,-87.326
4026.09,64.001,5.459,-93.113
4030.54,63.917,5.476,-97.306
4037.06,63.785,5.505,-98.462
4044.28,63.629,5.545,-98.791
4053.23,63.425,5.612,-99.05
4075.67,62.879,5.922,-99.468
4115.88,61.813,8.206,-99.774
4119.89,61.702,8.406,-99.796
4151.19,60.805,9.446,-99.906
4162.62,60.465,9.741,-99.919
4241.48,57.986,11.549,-99.957
4262.65,57.304,12.113,-99.966
4311.73,55.747,13.615,-99.986
4319.92,55.495,13.82,-99.99
4414.06,52.891,15.566,-100.02
4449.07,52.077,16.479,-100.026
4492.5,51.152,18.36,-100.029
4535.62,50.266,22.028,-100.024
4539.44,50.188,22.274,-100.023
4602.28,48.845,25.696,-100.001
4613.86,48.582,26.558,-99.996
4661.08,47.43,30.937,-99.974
4727.73,45.593,35.828,-99.951
4766.89,44.387,37.79,-99.95
4782.64,43.871,38.448,-99.954
4811.29,42.882,39.632,-99.971
4888.54,40.019,42.329,-100.07
4908.14,39.289,42.814,-100.102
5045.51,34.777,43.846,-100.248
5049.36,34.672,43.861,-100.248
5049.77,34.661,43.862,-100.248
5229.92,30.408,45.385,-100.116
5233.72,30.313,45.431,-100.116
5294.43,28.704,46.249,-100.195
5398.47,25.694,47.526,-100.576
5398.65,25.689,47.528,-100.575
5425.42,24.926,47.727,-100.196
5535.99,22.369,47.962,-95.605
5536.96,22.351,47.96,-95.551
5567.16,21.845,47.874,-93.706
5623.22,21.009,47.549,-89.961
5700.77,19.921,46.924,-84.882
5735.86,19.407,46.65,-82.518
5830.24,18.348,45.969,-75.62
5842.78,18.28,45.873,-74.59
5955.56,17.986,44.726,-59.598
5956.42,17.984,44.714,-59.393
6007.28,17.865,43.799,-42.797
6018.97,17.832,43.536,-32.665
6022.48,17.822,43.453,-27.82
6034.59,17.785,43.153,-23.756
6092.89,17.579,41.58,-16.376
6101.21,17.547,41.374,-15.545
6211.01,17.074,39.686,-10.131
6214.52,17.058,39.657,-10.101
6273.56,16.772,39.313,-10.044
6383.22,16.452,38.957,-10.779
6442.48,16.428,38.786,-11.181
6493.25,16.42,38.646,-11.318
6591.14,16.414,38.431,-11.063
6658.24,16.412,38.335,-10.834
6857.91,16.412,38.079,-10.623
6987.77,16.414,37.845,-10.662
7199.21,16.414,37.552,-10.761
7230.77,16.414,37.54,-10.729
7266.3,16.413,37.541,-10.665
7552.28,16.401,37.723,-10.126
7560.52,16.401,37.727,-10.143
7819.46,16.399,37.751,-11.718
7909.68,16.403,37.742,-11.369
7956.53,16.407,37.737,-11.101
8046.98,16.415,37.726,-10.846
8117.2,16.424,37.718,-10.728
8196.06,16.434,37.712,-10.673
8411.82,16.466,37.707,-10.5
8654.65,16.508,37.713,-9.283
8655.04,16.508,37.713,-9.28
8847.25,16.543,37.714,-7.185
8980.62,16.568,37.711,-6.313
9000.05,16.572,37.71,-6.231
9003.8,16.573,37.71,-6.215
